alloy,curve,lmp,stress_mpa,source_file,page,method,extracted_on
Centralloy ET 45 Micro,average,28.76175115775653,24.588680844997203,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.788438386196976,24.39191903991601,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.815232185225305,24.195642041689258,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.84213216524624,23.99986305587182,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.869137936664497,23.804595126643793,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.896249109884792,23.609851135711207,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.923465295311836,23.415643801249796,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.950786103350357,23.22198567689118,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,28.978211144405062,23.028889150752004,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.005740028880673,22.83636644450535,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.033372367181908,22.64442961249511,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.061107769713477,22.45309054089248,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.0889458468801,22.26236094689509,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.116886209086495,22.072252377968553,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.144928466737376,21.882776211129976,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.173072230237462,21.69394365227396,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.20131710999147,21.505765735540237,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.229662716404114,21.318253322723436,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.258108659880115,21.131417102724587,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.28665455082418,20.9452675910439,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.31529999964104,20.75981512931531,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.3440446167354,20.5750698848819,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.372888012511982,20.39104185041257,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.4018297973755,20.2077408435595,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.430869581730676,20.025176506655963,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.460006975982214,19.843358306454828,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.489241590534846,19.662295533907052,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.51857303579328,19.48199730397995,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.548000922162235,19.302472555515294,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.577524860046427,19.12373005112667,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.60714445985057,18.94577837713586,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.636859331979387,18.76862594354812,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.66666908683759,18.59228098406588,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.696573334829896,18.416751556140674,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.726571686361023,18.242045541062925,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.75666375183569,18.06817064408925,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
Centralloy ET 45 Micro,average,29.786849141658603,17.89513439460705,WST_ET_45_micro_161109.pdf,6,vector,2026-09-07
